family,parameter_name,parameter_value,mean_x,mean_k,delta_x,delta_k,delta_p,uncertainty_product,ratio_to_hbar_over_2,C,D,S_balance,pass_fail
gaussian_width_sweep,sigma,5.9624999999999995,0.0,-1.395147399205417e-17,5.962499999999989,0.08385744234800824,0.08385744234800824,0.49999999999999817,0.9999999999999963,0.16771488469598894,0.08385744234800824,0.6666666666680646,PASS
gaussian_width_sweep,sigma,6.25,-3.469446951953614e-16,-3.4878684980135424e-18,6.249999999999747,0.07999999999999677,0.07999999999999677,0.49999999999995953,0.9999999999999191,0.15999999999998088,0.07999999999999677,0.6666666666680907,PASS
gaussian_width_sweep,sigma,6.5375,-3.469446951953614e-15,-2.0927210988081255e-17,6.5374999999960375,0.0764818355640073,0.0764818355640073,0.49999999999939465,0.9999999999987893,0.15296367112817638,0.0764818355640073,0.6666666666676493,PASS
gaussian_width_sweep,sigma,6.824999999999999,-3.9898639947466563e-14,-6.975736996027085e-18,6.824999999955791,0.07326007325959967,0.07326007325959967,0.499999999993529,0.999999999987058,0.14652014652107415,0.07326007325959967,0.6666666666624964,PASS
gaussian_width_sweep,sigma,7.1125,-3.184952301893418e-13,0.0,7.112499999629621,0.07029876976787479,0.07029876976787479,0.4999999999479723,0.9999999998959446,0.14059753955035975,0.07029876976787479,0.6666666666220629,PASS
gaussian_width_sweep,sigma,7.3999999999999995,-2.0077689510955565e-12,-1.7439342490067712e-17,7.399999997566156,0.06756756754538146,0.06756756754538146,0.4999999996713739,0.9999999993427477,0.13513513517956252,0.06756756754538146,0.666666666376259,PASS
gaussian_width_sweep,sigma,7.687499999999999,-1.0320910792671611e-11,-1.0463605494040627e-17,7.687499987000364,0.06504065029668796,0.06504065029668796,0.4999999983102839,0.9999999966205678,0.13008130103295992,0.06504065029668796,0.666666665166463,PASS
gaussian_width_sweep,sigma,7.975,-4.4478309924045334e-11,-3.4878684980135424e-18,7.97499994188306,0.06269592430864994,0.06269592430864994,0.499999992717788,0.999999985435576,0.12539185044354423,0.06269592430864994,0.6666666601954173,PASS
gaussian_width_sweep,sigma,8.2625,-1.6460374729909688e-10,-1.0463605494040627e-17,8.262499777170776,0.060514370533552804,0.060514370533552804,0.4999999730491098,0.9999999460982196,0.12102874759075594,0.060514370533552804,0.6666666427122092,FAIL
gaussian_width_sweep,sigma,8.549999999999999,-5.337917607928233e-10,3.4878684980135424e-18,8.549999252246575,0.05847952705564681,0.05847952705564681,0.4999999125975136,0.9999998251950272,0.11695907455630779,0.05847952705564681,0.6666665889775152,FAIL
