family,parameter_name,parameter_value,delta_x,delta_k,uncertainty_product,ratio_to_hbar_over_2,S_balance_original,S_balance_log,S_balance_product_distance,Hx_norm,Hk_norm,S_balance_entropy,S_combined,pass_fail
overlap_separation_sweep,separation_d,13.0,6.784998229303338,0.24322703423349612,1.6502949965929736,3.3005899931859473,0.7546329757904444,0.6059522703922764,0.30297613519537275,0.8156221482117268,0.2542607274009106,0.4386385791891838,0.5997412751239682,PASS
overlap_separation_sweep,separation_d,13.5,7.029213777739494,0.24518316919329433,1.7234449109633379,3.4468898219266757,0.7343640372348293,0.5802332256990146,0.2901166128486925,0.815362828187599,0.2553355466530634,0.4399727184654645,0.5848566604664361,PASS
overlap_separation_sweep,separation_d,14.0,7.272760610261972,0.24663506993437204,1.7937178217279077,3.5874356434558154,0.7158919145115716,0.5575012902752842,0.2787506451367833,0.8151457654472453,0.25614364061914785,0.4409978751719026,0.5714636933195861,PASS
overlap_separation_sweep,separation_d,14.5,7.5159127272584,0.2476907132571288,1.8616217841929652,3.7232435683859304,0.6989043803935571,0.5371660390388358,0.2685830195185194,0.8149721274819792,0.2565554599990815,0.44158333251710236,0.5592179173164984,PASS
overlap_separation_sweep,separation_d,15.0,7.7588870768340295,0.24844292198681292,1.9276405767343676,3.8552811534687352,0.6831439678408836,0.5187689095535193,0.2593844547758246,0.81483839001345,0.2565728107507754,0.4417344207373254,0.5478824327105761,PASS
overlap_separation_sweep,separation_d,15.5,8.001847097121734,0.24896840178887197,1.9922070831293228,3.9844141662586456,0.668402936173401,0.5019558501082519,0.25097792505315714,0.8147387248359044,0.25645573192165766,0.44171700708575323,0.5373585977891354,PASS
overlap_separation_sweep,separation_d,16.0,8.244909798878952,0.24932839763960607,2.055690148837576,4.111380297675152,0.6545166239330618,0.48645463450295734,0.2432273172504783,0.8146666147681754,0.2560928061755358,0.4414261914073605,0.5274658166144599,PASS
overlap_separation_sweep,separation_d,16.5,8.488154215023952,0.249570317559403,2.1183913429367127,4.236782685873425,0.6413563212753806,0.4720563097742222,0.2360281548860812,0.814615836296358,0.25564998316627263,0.4410341468699146,0.5181489259731724,PASS
overlap_separation_sweep,separation_d,17.0,8.731629802203932,0.24972982284410483,2.180548363644694,4.361096727289388,0.6288223826004704,0.458600238672604,0.2293001193352443,0.8145809711132853,0.2558681226963132,0.4412871515830279,0.5095699242853674,PASS
overlap_separation_sweep,separation_d,17.5,8.975363983672773,0.24983302672142355,2.2423423499674224,4.484684699934845,0.6168380091088714,0.4459622323145213,0.2229811161561767,0.8145575965543771,0.25647601100592005,0.4419184144515429,0.5015728852916452,PASS
overlap_separation_sweep,separation_d,18.0,9.219368462152351,0.24989856820222564,2.3039069784206276,4.607813956841255,0.6053439195069441,0.4340453019030432,0.21702265095041276,0.8145422781966972,0.25695135496934096,0.44240907677264374,0.493932766060877,PASS
overlap_separation_sweep,separation_d,18.5,9.463644222984533,0.24993942951332276,2.3653378382098067,4.730675676419613,0.5942939746779158,0.42277258827525527,0.21138629413649523,0.8145324566440016,0.2572412164232487,0.44270875977924706,0.4865917742441394,PASS
overlap_separation_sweep,separation_d,19.0,9.708185320805422,0.2499644419431818,2.4267011259961166,4.853402251992233,0.5836517182170391,0.41208206041241396,0.20604103020505218,0.8145262912974595,0.25767244506236336,0.44314615376490396,0.47962664413145234,PASS
overlap_separation_sweep,separation_d,19.5,9.952981628689624,0.24997947731492612,2.4880411452648943,4.976082290529789,0.5733877315980502,0.4019226136629606,0.20096130683030425,0.8145224998927861,0.2582303002459215,0.4437078003531354,0.47300604853804873,PASS
overlap_separation_sweep,separation_d,20.0,10.198020755816865,0.24998835398097735,2.5493864226105005,5.098772845221001,0.563477672440453,0.39225124568684555,0.19612562284222645,0.8145202147039898,0.2584601421978669,0.4439399274938771,0.4665562818737252,PASS
asymmetric_overlap_sweep,amplitude_ratio_r,0.1,2.2364620440287064,0.23659056377289397,0.5291258158534304,1.0582516317068609,0.6920631518585874,0.5291258158547202,0.9449548387533252,0.751998416255445,0.2822134234746476,0.5302150072192027,0.5838013249775034,PASS
asymmetric_overlap_sweep,amplitude_ratio_r,0.1225,2.3160942650220933,0.23364847284563608,0.541151887988948,1.082303775977896,0.7022693768303325,0.5411518879902445,0.9239550135510413,0.754534754835284,0.2806248505845512,0.5260900957492672,0.589837120189948,PASS
